_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
11,1083,Morgentaler Clinic,"727 Hillsdale Ave E, Toronto, ON     M4S 1V4","Mount Pleasant East, 99",416-932-0446,mclinic@passport.ca,"<a href=""http://www.morgentaler.ca"" target=""_blank"">www.morgentaler.ca</a>",,Abortions up to 19 weeks gestation * 24 hour emergency service for clients who have had a recent abortion * taped information Monday-Sunday 24 hours,"Call for appointment only after positive pregnancy test obtained through pharmacy, doctor, medical clinic or home pregnancy test",English ; American Sign Language (ASL) ; Filipino ; Italian ; interpreters available for over 60 languages,"Wheelchair accessible building, but call ahead to make arrangements * street parking","Mon-Wed 9 am-6 pm, Thu 9 am-7 pm, Fri 9 am-6 pm, Sat 9 am-4 pm * after hours -- emergency calls returned within one hour",(50) Non Profit,2015-03-13T04:00:00,7368583,,,,,727 Hillsdale Ave E,former Toronto,M4S 1V4,"{u'type': u'Point', u'coordinates': (-79.3763846027, 43.707603996)}"
12,1084,Women's Care Abortion Clinic Toronto,"960 Lawrence Ave W, Toronto, ON     M6A 3B5","Yorkdale-Glen Park, 31",416-256-7149 ; 416-256-4139,info@womenscareclinic.ca,"<a href=""http://www.AbortionToronto.com"" target=""_blank"">www.AbortionToronto.com</a>",Women of all ages,Abortion services from 4-20 weeks gestation * pre-abortion and birth control counselling for patients * all female staff * parental consent not required,Call for appointment * no referral required,English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Farsi ; Romanian ; Serbian ; Spanish,Wheelchair accessible -- call for details,Mon-Sat 9 am-5 pm,(50) Non Profit,2015-07-03T04:00:00,5738239,,,,,960 Lawrence Ave W,North York,M6A 3B5,"{u'type': u'Point', u'coordinates': (-79.4574923099, 43.7139122517)}"
13,1105,Women's College Hospital,"76 Grenville St, 3rd Fl, Toronto, ON     M5S 1B2","Bay Street Corridor, 76",416-351-3700,bcbc@wchospital.ca,"<a href=""http://www.womenscollegehospital.ca/programs-and-services/bcbc/"" target=""_blank"">www.womenscollegehospital.ca/programs-and-services/bcbc/</a>",Women,"Birth control * pregnancy testing, counselling and referrals * abortion information, counselling and referrals * Pap tests * testing and treatment for sexually transmitted infections * anonymous HIV tests * HIV information and treatment referrals * Hepatitis B vaccination * safer sex counselling and information",Appointments preferred * drop ins accommodated if possible * no referral required,English ; printed material available in several languages,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon, Fri 9 am-5 pm; Tue-Thu 9 am-8 pm",(50) Non Profit,2015-11-27T05:00:00,7762671,,,,,76 Grenville St,former Toronto,M5S 1B2,"{u'type': u'Point', u'coordinates': (-79.38737538, 43.6615085917)}"
14,1085,Cabbagetown Women's Clinic,"302 Gerrard St E, Toronto, ON     M5A 2G7","Moss Park, 73",416-323-0642,,"<a href=""http://cabbagetownwomensclinic.com"" target=""_blank"">cabbagetownwomensclinic.com</a>",,Abortion services from 5-23 weeks gestation * pre-abortion counselling * follow-up care,Call for information or to book appointment,English ; Chinese (Mandarin) ; Filipino ; Italian ; Romanian,Wheelchair accessible via rear entrance and barrier free washrooms,Office -- Mon-Fri 8 am-4 pm * telephone -- Mon-Sun 8 am-8 pm,(50) Non Profit,2014-04-16T04:00:00,4907661,,,,,302 Gerrard St E,former Toronto,M5A 2G7,"{u'type': u'Point', u'coordinates': (-79.3664597598, 43.6623175616)}"
15,1086,Planned Parenthood Toronto,"36B Prince Arthur Ave, Toronto, ON     M5R 1A9","Annex, 95",416-961-0113,ppt@ppt.on.ca,"<a href=""http://www.ppt.on.ca"" target=""_blank"">www.ppt.on.ca</a>",Youth 13-29 years,"Information on sexual and reproductive health issues, including birth control, relationships, pregnancy options, sexually transmitted infections, HIV/AIDS, safer sex * educational materials * training for service providers * speakers * volunteer opportunities","Call, email, text, visit website or drop in",English ; Interpretive services available on request,Not Accessible,"Mon-Tue 1 pm-7:30 pm; Wed 4 pm-7:30 pm, Thu 1 pm-7:30 pm, Fri 1 pm-4 pm, Sat 10 am-2 pm (sexual health matters only)",(50) Non Profit ; (51) Registered Charity,2016-02-03T05:00:00,7974536,,,,,36B Prince Arthur Ave,former Toronto,M5R 1A9,"{u'type': u'Point', u'coordinates': (-79.3974745489, 43.6695926725)}"
16,1087,Access Alliance Multicultural Health and Community Services,"3079 Danforth Ave, Toronto, ON     M1L 1A8","Oakridge, 121",416-693-8677,mail@accessalliance.ca,"<a href=""http://www.accessalliance.ca"" target=""_blank"">www.accessalliance.ca</a>",Newcomer immigrants and refugees,"Health and community services<br><br>

<b>Health services</b> -- primary health care services * assessment, medical treatment * prenatal and postnatal care * immunization * diabetes * illness and disease prevention * sexual health and health education * nutrition * individual, marital, family and mental health counselling * no Ontario Health Insurance required for primary care and most specialists * <b>SHY Clinic</b>, Sexually Healthy Youth -- for ages 13-24 years * pregnancy testing and counselling * STI (sexually transmitted infections) testing and free treatment * low cost birth control * non-judgemental, confidential
<br><br>

<b>Community services</b> -- focus on newcomers, women, families with children birth-6 years * peer outreach and support * parenting and parent-child groups * prenatal nutrition and support * food skills groups * health education * lesbian, gay, bisexual, trans and queer (LGBTQ) services * expressive arts * environmental awareness * research and advocacy on newcomer, immigrant and refugee issues<br><br>

<b>Youth services</b> -- drop-in programs * settlement * out of school programs * <b>Community Connections Mentorship Program </b>(formerly HOST) -- group orientation activities for newly arrived immigrant and refugee youth * trained volunteer mentors * help in establishing social and professional networks * development of citizenship and civic engagement * skills and career development<br><br>

<b>Settlement Program</b> -- orientation * needs and eligibility assessments * information and referral * language and skills training * job search and employment counselling * networking * youth settlement * LGBTQ settlement * services in various locations<br><br>

<b>Newcomer Resource Centre</b> -- information and referral to community and government services * access to computers, Internet, photocopier, fax and telephone","Health services -- referral by community agency or self referral * Community, settlement and youth services -- most programs require an appointment, call for details",English ; interpreters available for other languages,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Tue, Thu 9 am-8 pm; Wed 1 pm-5 pm; Fri 9 am-5 pm",(50) Non Profit ; (51) Registered Charity,2014-06-12T04:00:00,8237409,,,,,3079 Danforth Ave,Scarborough,M1L 1A8,"{u'type': u'Point', u'coordinates': (-79.2873721731, 43.6911775255)}"
17,1089,Choice in Health Clinic,"1678 Bloor St W, Ste 301, Toronto, ON     M6P 1A9","High Park North, 88",416-975-9300,,"<a href=""http://www.choiceinhealth.ca"" target=""_blank"">www.choiceinhealth.ca</a>",,"<b>Abortions </b>-- surgical abortions up to 15 weeks gestation * medication abortions up to 7 weeks gestation * parental consent not required for minors * all female doctors<br><br>
Pre- and post-abortion counselling * pregnancy testing * post-abortion checkup * birth control counselling * contraceptives * sexually transmitted infections testing and treatment for abortion clients * public education and workshops",<b>Call for appointment</b>,English ; interpreters can be arranged for other languages,Wheelchair accessible -- call for details,"Mon-Wed 9 am-4:45 pm, Thu 9 am-7:45 pm, Fri 9 am-12:45 pm * hours may vary, call for details * after hours -- 24 hour recorded information on abortion services",(50) Non Profit,2014-05-16T04:00:00,9668114,,,,,1678 Bloor St W,former Toronto,M6P 1A9,"{u'type': u'Point', u'coordinates': (-79.4578309939, 43.6554426324)}"
18,1090,Women's College Hospital,"76 Grenville St, Toronto, ON     M5S 1B2","Bay Street Corridor, 76",Switchboard 416-323-6400 * Patient Inquiry 416-323-6100,info@wchospital.ca,"<a href=""http://www.womenscollegehospital.ca"" target=""_blank"">www.womenscollegehospital.ca</a>",Most programs treat men as well as women,"Ambulatory care hospital with a focus on women's health<br><br>
Breastfeeding support * childbirth education classes * foot care clinic * Ontario Breast Screening Program * women's mental health programs<br><br>
<b>Sexual Assault and Domestic Violence Care Centre</b> 416-323-6040 -- entrance on Grosvenor St west of Bay St * Monday-Sunday 24 hours * women, men and trans people * medical assessment and treatment * collection of medical and legal evidence at request of client * psychological and social support * follow-up services * safety planning<br><br>
<b>WISE program</b> -- assessment and consultation for seniors living in the community<br><br>
<a href=""http://www.womenshealthmatters.ca""> Women's Health Matters</a> -- online resource on women's health",Physician referral required for most programs,English ; interpreters for many other languages,"Wheelchair accessible building including main entrance and barrier free washrooms * access ramps at front and emergency entrances * braille and tone elevator, lowered buttons",Mon-Fri 6 am-7 pm * Sexual Assault and Domestic Violence Care Centre -- Mon-Sun 24 hours,(50) Non Profit,2015-12-02T05:00:00,7762671,,,,,76 Grenville St,former Toronto,M5S 1B2,"{u'type': u'Point', u'coordinates': (-79.38737538, 43.6615085917)}"
19,1091,Unison Health and Community Services,"1651 Keele St, Toronto, ON     M6M 3W2","Keelesdale-Eglinton West, 110",416-653-5400,,"<a href=""http://www.unisonhcs.org"" target=""_blank"">www.unisonhcs.org</a>","Health Services -- open to all within catchment area * Toronto Public Health dental clinic -- children, adolescents, parents enrolled in select Toronto Public Health programs and seniors","Community health centre * health services, health promotion, community services and community development * no Ontario Health Insurance required for general services 
<br><br>	
<b>Health Services</b> -- family practice including crisis pregnancy, family planning, management of chronic conditions, prenatal and postnatal care, preventative health care, seniors health, sexual health --  individual and sexuality counselling,  treatment of sexually transmitted diseases * counselling and case management * dietitian * podiatry clinic
<br><br>
<b>Health Promotion</b> -- anonymous HIV testing * breastfeeding clinic * child and parenting programs, including Spanish-speaking groups * Diabetes Education Centre * harm reduction programs * seniors programs * Toronto Public Health dental clinic * womens programs, including Vietnamese support group * youth programs
<br><br>
<b>Community Services</b> -- Adult Protective Service program for adults with developmental disabilities * community kitchen * form filling * ID clinic * income tax clinic * legal clinic * Snow Link -- snow clearing registry 
<br><br>
<b> Housing Help Centre </b> -- client advocacy * crisis referral to shelters * eviction prevention * housing search * information and referral * landlord outreach * negotiation with landlords * Share the Warmth * Housing Connections Access centre * other <b>Home Services</b> -- rent bank and Streets to Homes Follow-up services
<br><br>
<b>Unison Links</b> -- drop-in information and referral centre * Monday-Tuesday 10 am-12 noon, 1 pm-3:30 pm; Wednesday 1 pm-3:30 pm,Thursday 10 am-12 noon, 1 pm-3:30 pm * form filling * help with accessing government and community programs * information on services at Unison and other agencies * internet access for searching community, social, health and related government services
<br><br>
Access centre for <b>LEAP (Low Income Energy Assistance Program)</b>, sponsored by Toronto Hydro Electric System and United Way Toronto -- assistance to low income individuals and families who are in arrears for their electricity utility bills and have exhausted all other sources of financial support * <b>for help with Enbridge gas bills call 1-855-487-5327</b>",Appointment required for most services,English ; Portuguese ; Spanish ; Vietnamese,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Elevator with braille,"Mon 8:30 am-5 pm, Tue-Thu 8:30 am-8:30 pm, Fri 8:30 am-5 pm * after hours -- answering service * doctor on call for registered clients with medical emergencies, calls returned within one hour",(50) Non Profit ; (51) Registered Charity,2015-07-17T04:00:00,65007,,,,,1651 Keele St,York,M6M 3W2,"{u'type': u'Point', u'coordinates': (-79.4718438545, 43.6834830376)}"
20,1092,Scott Clinic,"157 Gerrard St E, Toronto, ON     M5A 2E4","Moss Park, 73",416-962-5771,,"<a href=""http://www.scottclinic.ca"" target=""_blank"">www.scottclinic.ca</a>",,"Abortions up to 16 weeks gestation * taped information and instructions on factors to consider, procedures, services, fees <b>416-962-4108</b>",Call for appointment,English ; French ; Chinese (Cantonese) ; Filipino ; Italian ; Russian,Not Accessible,Mon-Fri 9 am-5 pm * after hours -- answering service for emergency calls from active patients,(50) Non Profit,2014-06-19T04:00:00,808284,,,,,157 Gerrard St E,former Toronto,M5A 2E4,"{u'type': u'Point', u'coordinates': (-79.3743007636, 43.660500323)}"
21,1093,Access Alliance Multicultural Health and Community Services,"761 Jane St, 2nd Fl, Ste 200B, Toronto, ON     M6N 4C4","Rockcliffe-Smythe, 111",416-760-8677,mail@accessalliance.ca,"<a href=""http://www.accessalliance.ca"" target=""_blank"">www.accessalliance.ca</a>",Newcomer immigrants and refugees,"Health and community services<br><br>

<b>Health services </b>-- primary health care services * assessment, medical treatment * prenatal and postnatal care * immunization * diabetes * illness and disease prevention * sexual health and health education * nutrition * individual, marital, family and mental health counselling * no Ontario Health Insurance required for primary care and most specialists<br><br>

<b>Community services </b>-- focus on newcomers, women, families with children birth-6 years * peer outreach and support * parenting and parent-child groups * prenatal nutrition and support * food skills groups * health education * lesbian, gay, bisexual, trans and queer (LGBTQ) services * expressive arts * research and advocacy on newcomer, immigrant and refugee issues<br><br>

<b>Youth services </b>-- drop-in programs * settlement * out of school programs * <b>Community Connections Mentorship Program </b>(formerly HOST) -- group orientation activities for newly arrived immigrant and refugee youth * trained volunteer mentors * help in establishing social and professional networks * development of citizenship and civic engagement * skills and career development <br><br>

<b>Settlement Program </b>-- orientation * needs and eligibility assessments * information and referral * language and skills training * job search and employment counselling * networking * youth settlement * LGBTQ settlement * services in various locations","Health services -- referral by community agency or self referral * Community, settlement and youth services -- most programs require an appointment, call for details",English ; interpreters available for other languages,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Tue, Thu 9 am-8 pm; Wed 1 pm-5 pm; Fri 9 am-5 pm",(50) Non Profit ; (51) Registered Charity,2014-06-12T04:00:00,9531709,,,,,761 Jane St,York,M6N 4B4,"{u'type': u'Point', u'coordinates': (-79.4933591161, 43.6715505191)}"
22,1094,TAIBU Community Health Centre,"27 Tapscott Rd, Unit 1, Toronto, ON     M1B 4Y7","Malvern, 132",Clinic 416-644-3536 ; Community Programs and Administration 416-644-3539,info@taibuchc.com,"<a href=""http://www.taibuchc.com"" target=""_blank"">www.taibuchc.com</a>",Open to the Black community throughout the Greater Toronto Area * also all residents of the catchment area,"Community health centre * primary health care * social worker/therapist * dietitian * Toronto Public Health dental clinic for children, youth, seniors and perinatal women * prenatal and postnatal care * early years programs * chronic disease management * sexual health clinic * community programs -- health promotion, community development, community kitchen * no Ontario Health Insurance required for general services",,English ; other languages may be available,Wheelchair accessible building including main entrance and barrier free washrooms,"Clinic -- Mon, Wed, Fri 9 am-5 pm * Tue, Thu 9 am-8 pm * administration -- Mon-Fri 9 am-5 pm",(50) Non Profit,2015-09-17T04:00:00,30000037,,,,,27 Tapscott Rd,Scarborough,M1B 4Y7,"{u'type': u'Point', u'coordinates': (-79.2216573889, 43.8067026917)}"
23,1095,Planned Parenthood Toronto,"36B Prince Arthur Ave, Toronto, ON     M5R 1A9","Annex, 95",416-961-0113,ppt@ppt.on.ca,"<a href=""http://www.ppt.on.ca"" target=""_blank"">www.ppt.on.ca</a>",Youth 13-29 years,"Community health centre -- primary health, sexual and reproductive health, and mental health care * drop-in clinic * telephone access to physician or nurse practitioner * birth control counselling * emergency contraception * birth control and prescriptions at reduced price * free condoms * pregnancy testing and counselling, including pregnancy options * prenatal care * sexually transmitted infections testing and treatment * anonymous HIV testing * mental health case coordination * individual and group counselling * no Ontario Health Insurance required for general services<br><br>

Also information and referral including assistance finding food, housing, employment and legal aid * assistance obtaining health card * translation and interpretation by appointment",Call or visit * no referral required,English ; Interpretation available by appointment,Not Accessible - office ; Outreach programs accessible - call for details,"<b>Primary health clinic</b> -- Mon-Tue 9:30 am-8 pm; Wed 9:30 am-12 noon, 4 pm-8 pm; Thu 9:30 am-8 pm; Fri 9:30 am-4 pm * by appointment only -- call after 9:30 am for same day appointments * Sat 10 am-2 pm -- drop-in for sexual health matters only on a",(50) Non Profit ; (51) Registered Charity,2015-07-31T04:00:00,7974536,,,,,36B Prince Arthur Ave,former Toronto,M5R 1A9,"{u'type': u'Point', u'coordinates': (-79.3974745489, 43.6695926725)}"
